"rep","alpha","oracle_set","estimated_set","exact_recovery","oracle_value","estimated_value","separation_gap","iterations"
19,1e-04,"1;7;14;18","1;7;14;18",TRUE,-2.41816124189019,-2.4178362335259,0.0892630415692981,3
19,0.001,"1;7;14;18","1;7;14;18",TRUE,-2.41816124189019,-2.41490325220418,0.0892630415692981,3
19,0.01,"1;7;14;18","1;7;14;18",TRUE,-2.41816124189019,-2.38480209765984,0.0892630415692981,3
20,0,"2;5;17;19","2;5;17;19",TRUE,0.1378281873366,0.1378281873366,0.0414820878942277,2
20,1e-08,"2;5;17;19","2;5;17;19",TRUE,0.1378281873366,0.137828187432545,0.0414820878942277,2
20,1e-06,"2;5;17;19","2;5;17;19",TRUE,0.1378281873366,0.137828196931016,0.0414820878942277,2
20,1e-04,"2;5;17;19","2;5;17;19",TRUE,0.1378281873366,0.137829146620454,0.0414820878942277,2
20,0.001,"2;5;17;19","2;5;17;19",TRUE,0.1378281873366,0.137837765824928,0.0414820878942277,2
20,0.01,"2;5;17;19","2;5;17;19",TRUE,0.1378281873366,0.137922520050047,0.0414820878942277,2
21,0,"1;4;10;20","1;4;10;20",TRUE,-0.62828804859828,-0.62828804859828,0.116345434669682,2
21,1e-08,"1;4;10;20","1;4;10;20",TRUE,-0.62828804859828,-0.628288040680179,0.116345434669682,2
21,1e-06,"1;4;10;20","1;4;10;20",TRUE,-0.62828804859828,-0.628287256787765,0.116345434669682,2
21,1e-04,"1;4;10;20","1;4;10;20",TRUE,-0.62828804859828,-0.62820886377024,0.116345434669682,2
21,0.001,"1;4;10;20","1;4;10;20",TRUE,-0.62828804859828,-0.62749585836104,0.116345434669682,2
21,0.01,"1;4;10;20","1;4;10;20",TRUE,-0.62828804859828,-0.620333292564218,0.116345434669682,2
22,0,"10;13;17;19","10;13;17;19",TRUE,0.145485985948931,0.145485985948931,0.00388183869338399,3
22,1e-08,"10;13;17;19","10;13;17;19",TRUE,0.145485985948931,0.145485988705699,0.00388183869338399,3
22,1e-06,"10;13;17;19","10;13;17;19",TRUE,0.145485985948931,0.145486261625426,0.00388183869338399,3
22,1e-04,"10;13;17;19","10;13;17;19",TRUE,0.145485985948931,0.145513551025268,0.00388183869338399,3
22,0.001,"10;13;17;19","10;13;17;19",TRUE,0.145485985948931,0.14576140255055,0.00388183869338399,3
22,0.01,"10;13;17;19","10;13;17;19",TRUE,0.145485985948931,0.14821649520176,0.00388183869338399,3
23,0,"5;10;17;19","5;10;17;19",TRUE,1.21348128359067,1.21348128359067,0.0691075907864032,2
23,1e-08,"5;10;17;19","5;10;17;19",TRUE,1.21348128359067,1.2134812805945,0.0691075907864032,2
23,1e-06,"5;10;17;19","5;10;17;19",TRUE,1.21348128359067,1.21348098397235,0.0691075907864032,2
23,1e-04,"5;10;17;19","5;10;17;19",TRUE,1.21348128359067,1.21345131008016,0.0691075907864032,2
23,0.001,"5;10;17;19","5;10;17;19",TRUE,1.21348128359067,1.21318048719067,0.0691075907864032,2
23,0.01,"5;10;17;19","5;10;17;19",TRUE,1.21348128359067,1.21036763804275,0.0691075907864032,2
24,0,"12;13;19;20","12;13;19;20",TRUE,-0.521869511583363,-0.521869511583363,0.0458658133646928,3
24,1e-08,"12;13;19;20","12;13;19;20",TRUE,-0.521869511583363,-0.521869510020914,0.0458658133646928,3
24,1e-06,"12;13;19;20","12;13;19;20",TRUE,-0.521869511583363,-0.521869355338036,0.0458658133646928,3
24,1e-04,"12;13;19;20","12;13;19;20",TRUE,-0.521869511583363,-0.521853882673259,0.0458658133646928,3
24,0.001,"12;13;19;20","12;13;19;20",TRUE,-0.521869511583363,-0.521712824781509,0.0458658133646928,3
24,0.01,"12;13;19;20","12;13;19;20",TRUE,-0.521869511583363,-0.520263126532599,0.0458658133646928,3
25,0,"1;6;15;17","1;6;15;17",TRUE,-1.02934306044819,-1.02934306044819,0.0418684077807625,3
25,1e-08,"1;6;15;17","1;6;15;17",TRUE,-1.02934306044819,-1.02934305799458,0.0418684077807625,3
25,1e-06,"1;6;15;17","1;6;15;17",TRUE,-1.02934306044819,-1.02934281508605,0.0418684077807625,3
25,1e-04,"1;6;15;17","1;6;15;17",TRUE,-1.02934306044819,-1.02931850385118,0.0418684077807625,3
25,0.001,"1;6;15;17","1;6;15;17",TRUE,-1.02934306044819,-1.02909564148074,0.0418684077807625,3
25,0.01,"1;6;15;17","1;6;15;17",TRUE,-1.02934306044819,-1.02668362569597,0.0418684077807625,3
